nation,wc_year,fifa_rank_pre
Portugal,2006,7
France,2006,8
Italy,2006,13
Germany,2006,19
Spain,2010,2
Netherlands,2010,4
Germany,2010,6
Serbia,2010,15
Uruguay,2010,16
Nigeria,2010,21
Ghana,2010,32
Japan,2010,45
Germany,2014,2
Argentina,2014,7
Colombia,2014,8
USA,2014,14
Mexico,2014,19
Algeria,2014,22
Costa Rica,2014,28
Ecuador,2014,28
Nigeria,2014,44
Belgium,2018,3
Denmark,2018,12
Mexico,2018,15
Croatia,2018,20
Iceland,2018,22
Iran,2018,37
Egypt,2018,45
South Korea,2018,57
Russia,2018,70
Argentina,2022,3
Netherlands,2022,8
Croatia,2022,12
Mexico,2022,13
Switzerland,2022,15
Morocco,2022,22
Japan,2022,24
Poland,2022,26
Australia,2022,38
Saudi Arabia,2022,51
