player,nation,wc_year,age_at_wc,fifa_rank_pre,team_stage,matches,minutes,goals_conceded,clean_sheets,saves,save_pct,pen_saves,shootout_wins,golden_glove,club_pre,league_pre,club_pre_tier,mv_pre_eur_m,club_post,moved,move_up,transfer_fee_eur_m,mv_post_eur_m,data_confidence,notes,xg_prevented,sot_faced,nation_tier,team_stage_rank,club_pre_tier_rank,saves_per90,ga_per90,mv_delta_eur_m,mv_growth_pct,showcase_success
Gianluigi Buffon,Italy,2006,28,13,winner,7,690,2,5,30,93.75,0,0,1,Juventus,Serie A,top5,18.0,Juventus,0,0,,18.0,low,Yashin Award; no open-play goal conceded; stayed despite Juve relegation,,,mid,6,3,3.9130434782608696,0.2608695652173913,0.0,0.0,0
Jens Lehmann,Germany,2006,36,19,sf,6,540,6,2,15,71.42857142857143,2,1,0,Arsenal,Premier League,top5,8.0,Arsenal,0,0,,7.0,low,"Host 3rd place; 2 saves in QF shootout vs Argentina; age 36, no move",,,mid,4,3,2.5,1.0,-1.0,-12.5,0
Ricardo,Portugal,2006,30,7,sf,7,660,6,2,12,66.66666666666667,3,1,0,Sporting CP,Primeira Liga,other_euro,4.0,Sporting CP,0,0,,4.0,low,First keeper to save 3 in one WC shootout (vs England); 4th place; no move,,,elite,4,2,1.6363636363636365,0.8181818181818182,0.0,0.0,0
Fabien Barthez,France,2006,35,8,final,7,660,3,4,15,83.33333333333333,0,0,0,Marseille,Ligue 1,top5,5.0,retired,0,0,,,low,Runners-up; retired after tournament,,,elite,5,3,2.0454545454545454,0.4090909090909091,,,0
Iker Casillas,Spain,2010,29,2,winner,7,630,2,5,17,89.47368421052632,1,0,1,Real Madrid,La Liga,top5,22.0,Real Madrid,0,0,,22.0,med,Golden Glove; saved Cardozo pen QF; 4 knockout clean sheets; no move,,,elite,6,3,2.4285714285714284,0.2857142857142857,0.0,0.0,0
Maarten Stekelenburg,Netherlands,2010,27,4,final,7,660,6,3,16,72.72727272727273,0,0,0,Ajax,Eredivisie,other_euro,12.0,AS Roma,1,1,6.3,13.0,med,Runners-up; moved Ajax->Roma 2011 (~12mo); step up to Serie A,,,elite,5,2,2.181818181818182,0.8181818181818182,1.0,8.333333333333334,1
Fernando Muslera,Uruguay,2010,24,16,sf,7,660,6,3,18,75.0,0,1,0,Lazio,Serie A,top5,8.0,Galatasaray,1,0,5.0,9.0,med,4th place; shootout win vs Ghana; moved to Turkey 2011 (lateral),,,mid,4,3,2.4545454545454546,0.8181818181818182,1.0,12.5,0
Manuel Neuer,Germany,2010,24,6,sf,7,630,5,3,16,76.19047619047619,0,0,0,Schalke 04,Bundesliga,top5,18.0,Bayern Munich,1,1,30.0,30.0,med,WC debut at 24; 3rd place; moved Schalke->Bayern 2011 (~12mo),,,elite,4,3,2.2857142857142856,0.7142857142857143,12.0,66.66666666666667,1
Eiji Kawashima,Japan,2010,27,45,r16,4,390,4,1,17,80.95238095238095,0,0,0,Kawasaki Frontale,J1 League,non_euro,0.8,Lierse SK,1,1,0.0,1.5,med,"Strongest small-nation case: J-League -> Belgium (Lierse) free, immediately after WC",,,smaller,2,0,3.9230769230769234,0.9230769230769231,0.7,87.5,1
Vincent Enyeama,Nigeria,2010,27,21,group,3,270,5,0,10,66.66666666666667,0,0,0,Hapoel Tel Aviv,Israeli PL,domestic_small,1.5,Lille,1,1,0.0,4.0,med,6 saves vs Argentina (4 from Messi); moved to Ligue 1 in 2011 (~12mo),,,mid,1,1,3.3333333333333335,1.6666666666666667,2.5,166.66666666666666,1
Vladimir Stojkovic,Serbia,2010,26,15,group,3,270,3,1,9,75.0,1,0,0,Sporting CP,Primeira Liga,other_euro,4.0,Partizan,1,0,0.0,3.0,low,Saved Podolski pen in 1-0 win vs Germany; moved home to Partizan (down),,,mid,1,2,3.0,1.0,-1.0,-25.0,0
Richard Kingson,Ghana,2010,31,32,qf,5,480,6,1,18,75.0,0,0,0,Wigan Athletic,Premier League,top5,0.5,Blackpool,1,0,0.0,0.3,low,QF run (Suarez handball game); released after WC - opposite of a bump,,,smaller,3,3,3.375,1.125,-0.2,-40.0,0
Manuel Neuer,Germany,2014,28,2,winner,7,630,4,4,21,84.0,0,0,1,Bayern Munich,Bundesliga,top5,45.0,Bayern Munich,0,0,,45.0,high,"Golden Glove; sweeper-keeper; already at top club, no move",,,elite,6,3,3.0,0.5714285714285714,0.0,0.0,0
Keylor Navas,Costa Rica,2014,27,28,qf,5,480,2,3,21,92.3,1,1,0,Levante,La Liga,other_euro,3.0,Real Madrid,1,1,10.0,12.0,high,THE case: best save% in tourney; €10m buyout by Real Madrid Aug 2014,,,mid,3,2,3.9375,0.375,9.0,300.0,1
Guillermo Ochoa,Mexico,2014,28,19,r16,4,360,3,2,20,86.95652173913044,0,0,0,AC Ajaccio,Ligue 1,other_euro,1.0,Malaga,1,1,0.0,4.0,high,Free agent (Ajaccio relegated); 6 saves vs Brazil; free move to La Liga,,,mid,2,2,5.0,0.75,3.0,300.0,1
Tim Howard,USA,2014,35,14,r16,4,390,5,1,27,84.375,0,0,0,Everton,Premier League,top5,6.0,Everton,0,0,,5.0,high,"Record 16 saves vs Belgium; extension signed pre-WC; age 35, no move",,,mid,2,3,6.230769230769231,1.153846153846154,-1.0,-16.666666666666668,0
Vincent Enyeama,Nigeria,2014,31,44,r16,4,360,3,2,14,82.3529411764706,0,0,0,Lille,Ligue 1,top5,6.0,Lille,0,0,,6.0,med,"Captain; 2 clean sheets; already at Lille, no new move",,,smaller,2,3,3.5,0.75,0.0,0.0,0
Rais M'Bolhi,Algeria,2014,28,22,r16,4,390,5,0,18,78.26086956521739,0,0,0,CSKA Sofia,Bulgarian PL,domestic_small,1.0,Philadelphia Union,1,0,0.35,1.2,med,"~11 saves vs Germany; modest WC-enabled move to MLS (DP, lateral)",,,mid,2,1,4.153846153846154,1.153846153846154,0.19999999999999996,19.999999999999996,0
David Ospina,Colombia,2014,25,8,qf,5,480,4,2,15,78.94736842105263,0,0,0,OGC Nice,Ligue 1,top5,6.0,Arsenal,1,1,4.0,9.0,high,QF run; moved Nice->Arsenal Aug 2014,,,elite,3,3,2.8125,0.75,3.0,50.0,1
Sergio Romero,Argentina,2014,27,7,final,7,690,4,5,16,80.0,2,1,0,AS Monaco,Ligue 1,top5,4.0,Sampdoria,1,0,0.0,4.0,med,"2 shootout saves vs NED (SF); runners-up; loan move, no upgrade",,,elite,5,3,2.0869565217391304,0.5217391304347826,0.0,0.0,0
Thibaut Courtois,Belgium,2018,26,3,sf,7,630,6,3,25,80.6,0,0,1,Chelsea,Premier League,top5,45.0,Real Madrid,1,1,35.0,60.0,high (StatsBomb),Golden Glove; 3rd place; moved Chelsea->Real Madrid (~€35m). Elite-nation mover | stats: StatsBomb open data,-3.28,31.0,elite,4,3,3.5714285714285716,0.8571428571428571,15.0,33.333333333333336,1
Guillermo Ochoa,Mexico,2018,32,15,r16,4,360,5,1,25,83.3,0,0,0,Standard Liege,Belgian PL,other_euro,2.0,Club America,1,0,1.0,1.5,high (StatsBomb),~9 saves in 1-0 upset of Germany; homecoming move to Liga MX (down) | stats: StatsBomb open data,0.24,30.0,mid,2,2,6.25,1.25,-0.5,-25.0,0
Danijel Subasic,Croatia,2018,33,20,final,7,690,7,2,14,66.7,4,2,0,AS Monaco,Ligue 1,top5,4.0,AS Monaco,0,0,,3.0,high (StatsBomb),"KEY counterexample: 3 shootout saves vs DEN +1 vs RUS, reached final; age 33, no move | stats: StatsBomb open data",-4.58,21.0,mid,5,3,1.826086956521739,0.9130434782608695,-1.0,-25.0,0
Kasper Schmeichel,Denmark,2018,31,12,r16,4,390,2,2,19,90.5,3,0,0,Leicester City,Premier League,top5,12.0,Leicester City,0,0,,11.0,high (StatsBomb),"Saved Modric ET pen + 2 in shootout vs Croatia; established PL, no move | stats: StatsBomb open data",0.83,21.0,mid,2,3,4.384615384615385,0.46153846153846156,-1.0,-8.333333333333334,0
Hannes Halldorsson,Iceland,2018,34,22,group,3,270,5,0,8,61.5,1,0,0,Randers FC,Danish Superliga,other_euro,0.4,Qarabag,1,0,0.0,0.5,high (StatsBomb),Saved Messi pen in Iceland's first WC game; modest move to Azerbaijan; age 34 | stats: StatsBomb open data,-2.99,13.0,mid,1,2,2.6666666666666665,1.6666666666666667,0.09999999999999998,24.999999999999993,0
Alireza Beiranvand,Iran,2018,25,37,group,3,270,2,1,8,80.0,1,0,0,Persepolis,Persian Gulf Pro,non_euro,0.5,Persepolis,0,0,,0.8,high (StatsBomb),Saved Ronaldo pen; young & heroic but Antwerp move came ~2yrs later (outside window) | stats: StatsBomb open data,-0.56,10.0,smaller,1,0,2.6666666666666665,0.6666666666666666,0.30000000000000004,60.00000000000001,1
Cho Hyun-woo,South Korea,2018,26,57,group,3,270,3,1,12,80.0,0,0,0,Daegu FC,K League 1,non_euro,0.5,Ulsan Hyundai,1,0,1.0,1.5,high (StatsBomb),"MotM in 2-0 win vs Germany; European interest but no move (fee/age/military), domestic move | stats: StatsBomb open data",0.68,15.0,smaller,1,0,4.0,1.0,1.0,200.0,1
Igor Akinfeev,Russia,2018,32,70,qf,5,480,5,1,16,76.2,3,1,0,CSKA Moscow,Russian PL,non_euro,8.0,CSKA Moscow,0,0,,7.0,high (StatsBomb),"Host; saved 2 vs Spain in R16 shootout; one-club career, no move | stats: StatsBomb open data",-1.58,21.0,smaller,3,0,3.0,0.9375,-1.0,-12.5,0
Emiliano Martinez,Argentina,2022,30,3,winner,7,690,7,3,6,46.2,3,2,1,Aston Villa,Premier League,top5,28.0,Aston Villa,0,0,,32.0,high (StatsBomb),Golden Glove; ET save on Kolo Muani + shootout saves; champion but stayed | stats: StatsBomb open data,-4.23,13.0,elite,6,3,0.7826086956521738,0.9130434782608695,4.0,14.285714285714286,0
Dominik Livakovic,Croatia,2022,27,12,sf,7,690,7,3,24,77.4,4,2,0,Dinamo Zagreb,Croatian HNL,non_euro,10.0,Fenerbahce,1,1,6.65,10.0,high (StatsBomb),3 shootout saves vs Japan; 11 saves vs Brazil; 3rd; moved to Fenerbahce | stats: StatsBomb open data,-1.81,31.0,mid,4,0,3.1304347826086953,0.9130434782608695,0.0,0.0,1
Yassine Bono,Morocco,2022,31,22,sf,6,540,4,4,7,63.6,2,1,0,Sevilla,La Liga,top5,15.0,Al-Hilal,1,1,21.0,18.0,high (StatsBomb),1st African WC semifinal; ~1 open-play goal conceded; ~€21m move to Al-Hilal | stats: StatsBomb open data,-2.07,11.0,mid,4,3,1.1666666666666667,0.6666666666666666,3.0,20.0,1
Wojciech Szczesny,Poland,2022,32,26,r16,4,360,5,2,25,83.3,2,0,0,Juventus,Serie A,top5,12.0,Juventus,0,0,,10.0,high (StatsBomb),"Saved Messi pen + Saudi pen; established at Juve, no move | stats: StatsBomb open data",-0.77,30.0,mid,2,3,6.25,1.25,-2.0,-16.666666666666668,0
Mathew Ryan,Australia,2022,30,38,r16,4,360,6,2,13,68.4,0,0,0,FC Copenhagen,Danish Superliga,other_euro,2.5,AZ Alkmaar,1,0,0.0,2.0,high (StatsBomb),"R16 (first since 2006); lateral move, then Roma backup | stats: StatsBomb open data",-3.35,19.0,smaller,2,2,3.25,1.5,-0.5,-20.0,0
Guillermo Ochoa,Mexico,2022,37,13,group,3,270,3,1,3,50.0,1,0,0,Club America,Liga MX,non_euro,1.0,Salernitana,1,1,0.0,1.2,high (StatsBomb),Saved Lewandowski pen; age 37 but earned a Serie A move (Liga MX -> Serie A) | stats: StatsBomb open data,-1.56,6.0,mid,1,0,1.0,1.0,0.19999999999999996,19.999999999999996,1
Andries Noppert,Netherlands,2022,28,8,qf,5,480,4,2,18,81.8,0,0,0,SC Heerenveen,Eredivisie,other_euro,1.5,SC Heerenveen,0,0,,2.0,high (StatsBomb),"Surprise breakout, QF run; but strong nation & stayed at Heerenveen | stats: StatsBomb open data",-0.45,22.0,elite,3,2,3.375,0.75,0.5,33.333333333333336,0
Mohammed Al-Owais,Saudi Arabia,2022,31,51,group,3,270,5,0,14,73.7,0,0,0,Al-Hilal,Saudi Pro League,non_euro,1.5,Al-Hilal,0,0,,1.5,high (StatsBomb),Player of match in 2-1 win over Argentina; SPL foreign-keeper rule blocks export | stats: StatsBomb open data,-1.18,19.0,smaller,1,0,4.666666666666667,1.6666666666666667,0.0,0.0,0
Yann Sommer,Switzerland,2022,33,15,r16,4,360,7,1,12,63.2,0,0,0,Borussia M.gladbach,Bundesliga,top5,4.0,Bayern Munich,1,1,8.0,6.0,high (StatsBomb),"Moved to Bayern Jan 2023 (Neuer injury-driven, not WC); counted as a mover | stats: StatsBomb open data",-4.23,19.0,mid,2,3,3.0,1.75,2.0,50.0,1
Shuichi Gonda,Japan,2022,33,24,r16,4,360,4,1,15,78.9,0,0,0,Shimizu S-Pulse,J1 League,non_euro,0.5,Shimizu S-Pulse,0,0,,0.5,high (StatsBomb),"MotM in 2-1 win vs Germany; great tournament but age 33, no move | stats: StatsBomb open data",-1.61,19.0,mid,2,0,3.75,1.0,0.0,0.0,0
Alexander Dominguez,Ecuador,2014,27,28,group,3,270,3,1,11,78.57142857142857,0,0,0,LDU Quito,Ecuadorian Serie A,non_euro,1.6,LDU Quito,0,0,,1.6,med,MotM 0-0 vs France; group exit; modest move to Mexico came in 2016 (outside window),,,mid,1,0,3.6666666666666665,1.0,0.0,0.0,0
