player,nation,wc_year,matches,sot_faced,saves,goals_conceded,xg_faced,pen_saves,so_pen_saves,save_pct,xg_prevented
Kasper Schmeichel,Denmark,2018,4,21,19,2,2.83244041,1,2,90.5,0.83
Hyeon-Woo Jo,South Korea,2018,3,15,12,3,3.6775183719999998,0,0,80.0,0.68
Aymen Mathlouthi,Tunisia,2018,1,4,4,0,0.3307681575,0,0,100.0,0.33
Pedro David Gallese Quiróz,Peru,2018,3,9,7,2,2.310946795,0,0,77.8,0.31
Francisco Guillermo Ochoa Magaña,Mexico,2018,4,30,25,5,5.2434657187,0,0,83.3,0.24
Łukasz Fabiański,Poland,2018,1,3,3,0,0.133415739,0,0,100.0,0.13
Lovre Kalinić,Croatia,2018,1,6,5,1,1.1015303179999998,0,0,83.3,0.1
Steve Mandanda,France,2018,1,1,1,0,0.008512876,0,0,100.0,0.01
Essam Kamal Tawfik El Hadary,Egypt,2018,1,7,5,2,1.8984965870000001,1,0,71.4,-0.1
Mohammed Khalil Al Owais,Saudi Arabia,2018,1,3,2,1,0.807209895,0,0,66.7,-0.19
David Ospina Ramírez,Colombia,2018,4,13,10,3,2.6407392169999997,0,1,76.9,-0.36
Mouez Hassen,Tunisia,2018,1,3,2,1,0.492136815,0,0,66.7,-0.51
Alireza Safar Beiranvand,Iran,2018,3,10,8,2,1.4424640088,1,0,80.0,-0.56
Yasser Abdullah Al Mosailem,Saudi Arabia,2018,1,1,0,1,0.10416558,0,0,0.0,-0.9
Francis Odinaka Uzoho,Nigeria,2018,3,8,5,3,1.668913867,0,0,62.5,-1.33
Munir Mohand Mohamedi,Morocco,2018,3,7,4,3,1.6080610929999999,0,0,57.1,-1.39
Manuel Neuer,Germany,2018,3,15,11,4,2.55975895,0,0,73.3,-1.44
Alisson Ramsés Becker,Brazil,2018,4,7,5,2,0.496389721,0,0,71.4,-1.5
Igor Akinfeev,Russia,2018,4,21,16,5,3.424517951,0,3,76.2,-1.58
Mohamed El Sayed Mohamed El Shenawy Gomaa,Egypt,2018,2,8,5,3,1.122375614,0,0,62.5,-1.88
Wojciech Szczęsny,Poland,2018,2,4,0,4,2.0383835,0,0,0.0,-1.96
Farouk Ben Mustapha,Tunisia,2018,2,15,9,6,3.956636417,0,0,60.0,-2.04
Vladimir Stojković,Serbia,2018,3,15,11,4,1.9082165127,0,0,73.3,-2.09
Néstor Fernando Muslera Micol,Uruguay,2018,5,12,9,3,0.7136810875,0,0,75.0,-2.29
Mathew Ryan,Australia,2018,3,12,8,4,1.669512128,0,0,66.7,-2.33
Keylor Navas Gamboa,Costa Rica,2018,3,14,9,5,2.62195189,0,0,64.3,-2.38
Yann Sommer,Switzerland,2018,4,16,12,4,1.589019787,0,0,75.0,-2.41
Wilfredo Daniel Caballero,Argentina,2018,2,7,3,4,1.403651616,0,0,42.9,-2.6
Khadim N'Diaye,Senegal,2018,3,8,4,4,1.38969057,0,0,50.0,-2.61
Franco Armani,Argentina,2018,2,7,2,5,2.122128752,0,0,28.6,-2.88
Hannes Þór Halldórsson,Iceland,2018,3,13,8,5,2.013082821,1,0,61.5,-2.99
Hugo Lloris,France,2018,6,17,11,6,2.9355335869999997,0,0,64.7,-3.06
Robin Olsen,Sweden,2018,4,13,9,4,0.8201487260000001,0,0,69.2,-3.18
Thibaut Courtois,Belgium,2018,7,31,25,6,2.72210222,0,0,80.6,-3.28
David de Gea Quintana,Spain,2018,3,7,1,6,2.526400256,0,0,14.3,-3.47
Rui Pedro dos Santos Patrício,Portugal,2018,4,14,8,6,2.475598676,0,0,57.1,-3.52
